Review,Rating
"Das Hotel ist für Touristen gut in einer sicheren Umgebung gelegen. Das Personal ist sehr nett. Man hat uns sogar unsere Koffer hochgetragen. Das Bad, wie auch das Zimmer waren absolut sauber. Zimmer ist einfach ausgestattet aber gemütlich. Wir werden beim nächsten Trip nach London wieder hier übernachten.",99.0
"Das Hotel hat einen kleinen Kühlschrank in jedem Zimmer, zudem einen Fernseher und ein Waschbecken. Auf dem dem Gang findet man dann mehrere Toiletten und Duschen, sowie eine Küche in der auch eine Waschmaschine und ein Trockner stehen. Mit …",99.0
Wir sind als Famile mit 3 Kindern gereist. Die Zimmer sind zwar klein aber sauber und sie haben alles was man braucht. Das Personal ist sehr freundlich und hilfsbereit. Alles in allem empfehle ich das Hotel gerne weiter und wir kommen definitv wieder,99.0
Das Hour Glas Hotel ist kein Hotel mit internationalen Standard. Etagenduschen und Etagentoiltten kenne ich sonst nur aus alten Filmen. Alles erinnert an die 50er und 60er. Die Gegend ist geprägt von Sozialbauten. Wer London von seiner …,99.0
The Staff are the stars of the show. They were helpful and kind even when I came late and had a baby on oxygen and needed help up the stairs. The hotel has lots of stairs and there is no lift due to the Victorian building. This makes sense …,99.0
"Sie könnten eine alptraumhafte Hotelfolge drehen!
Kleines Doppelzimmer, das in ein Dreibettzimmer umgewandelt wurde. Unmöglich, den Koffer zu öffnen, au …",99.0
"Sehr schlecht. Ich habe ein Zimmer für mich, meine Frau und unser Baby gebucht, aber sie geben uns kein Kinderbett für unser Baby. Die Zentrale hilft uns nicht, mindestens noch ein Bett für das Baby hinzustellen und dann musste es au …",99.0
"Oh no no no. My brother booked this for us thinking it was a reasonably priced hotel £169. It is not its a very expensive dog kennel. I did not take my coat of and we did not stay. Just plain dirty, in an area of sever deprivation and not …",99.0
"Wir sind ohne Schlafen abgereist und haben ein anderes Hotel gebucht.

Der Check-in findet in einer dunklen Kneipe statt, die Zimmer sind furchtbar veraltet und die Toilette und Duschen auf dem Flur laden nic …",99.0
"Visited 2 weeks ago after moved away. Still a good pub and cheap. Didn't stay in accommodation but from residents comments very good. Location is a bit weird, for tourist is close to  city and west end but it is still south London keep your wits about you.",99.0
